slide_width_pt,slide_height_pt,slide_index,shape_id,shape_name,shape_type,left_pt,top_pt,width_pt,height_pt,left_pct,top_pct,width_pct,height_pct,rotation_deg,fill_hex,fill_transparency,line_hex,line_weight_pt,line_transparency,zorder,rounded_radius_pct
960.0000,540.0000,1,78,Rectangle 77,AutoShape,395.1870,193.7383,15.3600,4.8000,0.4117,0.3588,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,68,
960.0000,540.0000,1,79,Rectangle 78,AutoShape,401.6603,183.2617,15.3600,4.8000,0.4184,0.3394,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,69,
960.0000,540.0000,1,80,Rectangle 79,AutoShape,408.5590,170.2967,15.3600,4.8000,0.4256,0.3154,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,70,
960.0000,540.0000,1,81,Rectangle 80,AutoShape,415.3381,158.9791,15.3600,4.8000,0.4326,0.2944,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,71,
960.0000,540.0000,1,82,Rectangle 81,AutoShape,422.0395,147.9706,15.3600,4.8000,0.4396,0.2740,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,72,
960.0000,540.0000,1,83,Rectangle 82,AutoShape,429.0692,135.3278,15.3600,4.8000,0.4469,0.2506,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,73,
960.0000,540.0000,1,84,Rectangle 83,AutoShape,435.2823,125.1086,15.3600,4.8000,0.4534,0.2317,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,74,
960.0000,540.0000,1,85,Rectangle 84,AutoShape,473.9334,104.7771,15.3600,5.9231,0.4937,0.1940,0.0160,0.0110,93.589,#FFFF00,0.000,#042433,1.500,0.000,75,
960.0000,540.0000,1,86,Rectangle 85,AutoShape,486.0123,104.7787,15.3600,5.9231,0.5063,0.1940,0.0160,0.0110,93.986,#FFFF00,0.000,#042433,1.500,0.000,76,
960.0000,540.0000,1,87,Rectangle 86,AutoShape,497.4579,103.4421,15.3600,5.9231,0.5182,0.1916,0.0160,0.0110,94.027,#FFFF00,0.000,#042433,1.500,0.000,77,
960.0000,540.0000,1,88,Rectangle 87,AutoShape,508.2856,103.5970,15.3600,5.9231,0.5295,0.1918,0.0160,0.0110,95.734,#FFFF00,0.000,#042433,1.500,0.000,78,
960.0000,540.0000,1,89,Rectangle 88,AutoShape,519.5446,102.9697,15.3600,5.9231,0.5412,0.1907,0.0160,0.0110,96.055,#FFFF00,0.000,#042433,1.500,0.000,79,
960.0000,540.0000,1,2,Rectangle 1,AutoShape,607.4427,90.7039,16.9861,7.4194,0.6328,0.1680,0.0177,0.0137,145.635,#00B0F0,0.000,#042433,1.500,0.000,80,
960.0000,540.0000,1,3,Rectangle 2,AutoShape,614.3279,103.4909,16.9861,7.4194,0.6399,0.1916,0.0177,0.0137,151.473,#00B0F0,0.000,#042433,1.500,0.000,81,
960.0000,540.0000,1,4,Rectangle 3,AutoShape,621.6067,116.4835,16.9861,7.4194,0.6475,0.2157,0.0177,0.0137,153.176,#00B0F0,0.000,#042433,1.500,0.000,82,
960.0000,540.0000,1,6,Rectangle 5,AutoShape,627.9017,127.0143,16.9861,7.4194,0.6541,0.2352,0.0177,0.0137,151.473,#00B0F0,0.000,#042433,1.500,0.000,83,
960.0000,540.0000,1,13,Rectangle 12,AutoShape,635.1573,140.5984,16.9861,7.4194,0.6616,0.2604,0.0177,0.0137,151.473,#00B0F0,0.000,#042433,1.500,0.000,84,
960.0000,540.0000,1,23,Rectangle 22,AutoShape,641.9183,151.5685,16.9861,7.4194,0.6687,0.2807,0.0177,0.0137,151.473,#00B0F0,0.000,#042433,1.500,0.000,85,
960.0000,540.0000,1,90,Rectangle 89,AutoShape,648.0804,164.0794,16.9861,7.4194,0.6751,0.3039,0.0177,0.0137,151.473,#00B0F0,0.000,#042433,1.500,0.000,86,
960.0000,540.0000,1,91,Rectangle 90,AutoShape,653.5911,174.9780,16.9861,7.4194,0.6808,0.3240,0.0177,0.0137,151.473,#00B0F0,0.000,#042433,1.500,0.000,87,
960.0000,540.0000,1,93,Rectangle 92,AutoShape,662.7842,185.0227,16.9861,7.4194,0.6904,0.3426,0.0177,0.0137,152.295,#00B0F0,0.000,#042433,1.500,0.000,88,
